reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,dam_type,dam_height (m),dam_length (m),catchment_area (hectare),surface_area_frl (hectare),capacity_design_total (10^4 m^3),capacity_design_effective (10^4 m^3),capacity_current_total (10^4 m^3),capacity_current_effective (10^4 m^3),main_use,operator,last_capacity_survey_year_roc,coord_source,source_system,source_agency,source_url,last_updated
50109,烏溝蓄水塘,,Taiwan,,,,23.36707,119.53628,,,,,,,,,,,,,ressub:烏溝水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50201,太湖水庫,,Taiwan,,,,24.4397,118.4245,,,,,,,,,,,,,ressub:太湖水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50202,田埔水庫,,Taiwan,,,,24.4763,118.45673,,,,,,,,,,,,,ressub:田浦水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50203,陽明湖水庫,,Taiwan,,,,24.46006,118.43092,,,,,,,,,,,,,ressub:陽明湖水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50204,山西水庫,,Taiwan,,,,24.5058,118.42824,,,,,,,,,,,,,ressub:山西水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50205,榮湖水庫,,Taiwan,,,,24.48625,118.41264,,,,,,,,,,,,,ressub:榮湖水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50206,擎天水庫,,Taiwan,,,,24.46154,118.39527,,,,,,,,,,,,,ressub:擎天水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50207,金沙水庫,,Taiwan,,,,24.4907,118.40396,,,,,,,,,,,,,ressub:金沙水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50208,蓮湖水庫,,Taiwan,,,,24.44901,118.24848,,,,,,,,,,,,,ressub:蓮湖水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50209,菱湖水庫,,Taiwan,,,,24.44701,118.24448,,,,,,,,,,,,,ressub:菱湖水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50210,西湖水庫,,Taiwan,,,,24.43493,118.23139,,,,,,,,,,,,,ressub:西湖水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50212,金湖水庫,,Taiwan,,,,24.4341,118.45828,,,,,,,,,,,,,ressub:金湖水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50213,瓊林水庫,,Taiwan,,,,24.44852,118.37083,,,,,,,,,,,,,ressub:瓊林水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50214,蘭湖,,Taiwan,,,,24.45199,118.38257,,,,,,,,,,,,,ressub:蘭湖水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50301,勝利水庫,,Taiwan,,,,26.15183,119.93541,,,,,,,,,,,,,ressub:勝利水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50303,珠螺水壩,,Taiwan,,,,,,,,,,,,,,,,,,,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50304,儲水沃上壩,,Taiwan,,,,,,,,,,,,,,,,,,,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50305,儲水沃水庫,,Taiwan,,,,26.1534,119.91723,,,,,,,,,,,,,ressub:儲水沃水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50306,津沙水庫,,Taiwan,,,,26.14518,119.91572,,,,,,,,,,,,,ressub:津沙水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50307,津沙一號水庫,,Taiwan,,,,26.14859,119.91488,,,,,,,,,,,,,ressub:津沙一號水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50308,坂里水庫,,Taiwan,,,,26.22133,119.97422,,,,,,,,,,,,,ressub:板里水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50309,東湧水庫,,Taiwan,,,,26.36918,120.49281,,,,,,,,,,,,,ressub:東湧水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50310,后沃水庫,,Taiwan,,,,26.16104,119.92246,,,,,,,,,,,,,ressub:后沃水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
20203,谷關水庫,,Taiwan,臺中市和平區,大甲溪、大甲溪支流小雪溪,臺灣中區,24.23658,121.08197,混凝土拱壩,85.1,149,9260.3,40.3,1710,1250,421.9,421.9,發電,台灣電力股份有限公司,111.04,ressub:谷關水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30303,鹿寮溪水庫,,Taiwan,臺南市白河區,八掌溪支流頭前溪支流鹿寮溪,臺灣南區,23.39098,120.48335,混凝土心牆土壩,30,270.4,766,28.1,378,357,71.4,71.4,灌溉,台灣糖業股份有限公司,108.06,ressub:鹿寮溪水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30402,尖山埤水庫,,Taiwan,臺南市柳營區,急水溪支流龜重溪上游支流,臺灣南區,23.26026,120.39597,混凝土心牆土壩,30,255.6,1037,37.7,811,633,85.3,85.3,灌溉、觀光,台灣糖業股份有限公司,108.09,ressub:尖山埤水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30803,鳳山水庫,,Taiwan,高雄市林園區,高屏溪及東港溪(抽水),臺灣南區,22.54148,120.3896,土壩,39.5,325,203.6,71.3,920,850,688.8,684.2,公共給水、工業用水、觀光,台灣自來水股份有限公司,112.11,ressub:鳳山水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30901,高屏溪攔河堰,,Taiwan,高雄市大樹區、屏東縣屏東市,高屏溪,臺灣南區,22.70123,120.44668,,,,,,,,,,,,,ressub:高屏溪攔河堰水庫,Manual override from WRA/secondary references,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
50302,秋桂山水庫,,Taiwan,連江縣南竿鄉,(天然積水),馬祖地區,26.16746,119.92459,,,,,,,,,,,,,ressub:秋桂山水庫,Manual override from WRA/secondary references,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
