station_id,station_name,station_type,country,admin_unit,division,river_basin,lat,lon,normal_level (m),alert_level (m),warning_level (m),danger_level (m),wl_datum (based on),source_agency,source_url,last_updated
MY_DIDSRWK_101131,Nanga Melatai,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,1.586888889,113.8008056,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101132,Nanga Merit,Combine,Malaysia,Sarawak,Kapit,Batang Rajang,2.27077,113.09595,18.00,20.00,23.00,24.00,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101139,Permy Jaya,Rainfall,Malaysia,Sarawak,Miri,Sungai Miri,4.454611111,114.0425833,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101140,Kuala Tutong,Combine,Malaysia,Sarawak,Miri,Batang Suai,3.651025,113.557077,0.70,2.50,2.70,2.90,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101141,Long Jee,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,2.987111111,114.9603333,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101142,Long Jegan,Combine,Malaysia,Sarawak,Miri,Batang Baram,3.583138889,114.1151389,4.50,10.50,11.50,12.00,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101143,Long Panai,Combine,Malaysia,Sarawak,Miri,Batang Baram,3.948416667,114.54275,2.00,6.50,7.50,8.00,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 04:43:00
MY_DIDSRWK_101144,Long Seridan,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,3.976611111,115.0685,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101145,Long Subing,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,3.326638889,114.2759444,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101146,Long Teru,Combine,Malaysia,Sarawak,Miri,Batang Baram,3.864280556,114.2447806,3.00,6.00,7.00,8.00,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101147,Mulu Airport,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,4.048309833,114.80956,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101148,Pa Tik,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,3.724172,115.281381,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101149,Beluru,Combine,Malaysia,Sarawak,Miri,Batang Baram,3.973138889,114.1039722,3.60,5.10,5.60,5.80,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101150,Nanga Insungai,Combine,Malaysia,Sarawak,Limbang,Sungai Limbang,4.399269444,114.8955111,5.80,8.20,9.10,11.50,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101151,Nanga Medamit,Rainfall,Malaysia,Sarawak,Limbang,Sungai Limbang,4.487603,114.909229,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101152,Ulu Medalam,Rainfall,Malaysia,Sarawak,Limbang,Sungai Limbang,4.3195,114.896,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101154,Long Tengoa,Combine,Malaysia,Sarawak,Limbang,Batang Trusan,4.595416667,115.3403806,43.70,46.50,48.00,50.00,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101155,Sundar,Combine,Malaysia,Sarawak,Limbang,Batang Trusan,4.890611111,115.2043611,2.00,3.20,3.40,3.60,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101156,Trusan Telemetry,Rainfall,Malaysia,Sarawak,Limbang,Batang Trusan,4.78069444444444,115.270833333333,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101158,Batu Niah Bazaar,Combine,Malaysia,Sarawak,Miri,Sungai Niah,3.803138889,113.7574389,0.86,2.62,4.72,5.22,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 04:43:00
MY_DIDSRWK_101159,Miri DID,Combine,Malaysia,Sarawak,Miri,Sungai Miri,4.431566667,114.0020194,,2.50,2.70,3.00,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
