date,station_id,reservoir,river,wma,prov,wss,fsc_mcm,water_mcm,pct_last_year,pct_last_week,pct_full,district_mun
20240422,W5R003,Morgenstond,Ngwempisi,3,M,IV,99.99,100.48,100.1,,100.5,DC30
20240422,W5R004,Heyshope,Assegaai,3,M,IV,444.94,458.28,100.5,,103,DC30
20240422,X1R001,Nooitgedacht,Komati,3,M,IV,78.34,75.93,99,,96.9,DC30
20240422,X1R003,Vygeboom,Komati,3,M,IV,78.02,78.49,100.4,,100.6,DC30
20240422,X1R004,Driekoppies,Lomati,3,M,,250.92,251.7,100.4,,100.3,DC32
20240422,X1R005,^ Maguga,Komati,10,E,,333.75,332.71,99.8,,99.7,
20240422,X2R001,Longmere,Wit,3,M,,4.2,4.21,101.1,,100.2,DC32
20240422,X2R002,Klipkopjes,Wit,3,M,,11.78,11.73,99.7,,99.6,DC32
20240422,X2R003,Witklip,Sand,3,M,,12.52,12.58,100.4,,100.4,DC32
20240422,X2R004,Primkop,Wit,3,M,,1.9,1.91,100.2,,100.6,DC32
20240422,X2R005,Kwena,Krokodil,3,M,CE,158.65,159.28,100.4,,100.4,DC32
20240422,X3R001,Da Gama,WhiteWaters,3,M,,13.53,13.5,100.4,,99.8,DC32
20240422,X3R002,Inyaka,Marite,3,M,,123.66,124.15,100.2,,100.4,DC32
20240506,A1R001,Ngotwane,Ngotwane,1,NW,,19.03,6.64,59.1,,34.9,DC38
20240506,A2R001,Hartbeespoort,Krokodil,1,NW,CW,185.79,184.35,99.4,,99.2,DC37
20240506,A2R002,BonAccord,Apies,1,G,,4.38,4.62,109.7,,105.4,TSH
20240506,A2R003,Olifantsnek,Hex,1,NW,,13.68,10.53,101,,77,DC37
20240506,A2R004,Rietvlei,Hennops,1,G,CW,12.25,12.25,101,,100,TSH
20240506,A2R005,Buffelspoort,Sterkstroom,1,NW,,10.18,10.2,100.9,,100.1,DC37
20240506,A2R006,Bospoort,Hex,1,NW,CW,15.8,16.06,103.2,,101.7,DC37
20240506,A2R007,Lindleyspoort,Elands,1,NW,,14.21,7.41,98.9,,52.1,DC37
20240506,A2R008,~Warmbad,Buffelspruit,1,LP,,0.55,0.56,101.6,,101.6,DC36
20240506,A2R009,Roodeplaat,Pienaars,1,G,CW,41.16,41.32,100.5,,100.4,TSH
20240506,A2R011,Kosterrivier,Koster,1,NW,,12.42,10.9,100.9,,87.8,DC37
20240506,A2R012,Klipvoor,Pienaars,1,NW,CW,40.73,41.04,100.2,,100.7,DC37
20240506,A2R013,Swartruggens,Elands,1,NW,,0.47,0.47,102.9,,99.2,DC37
