obs_date,reservoir_id,variable,value,source_kind,bulletin_file,fetched_at
2023-02-03,MUDA,outflow_m3s,1.5,prose,BH046_03.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-03,MUDA,storage_pct,72.13,prose,BH046_03.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-09,CAHORA BASSA,outflow_m3s,3527.87,prose,BH050_09.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-09,CAHORA BASSA,storage_pct,90.56,prose,BH050_09.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-09,MUDA,outflow_m3s,1.5,prose,BH050_09.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-09,MUDA,storage_pct,71.09,prose,BH050_09.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-10,CAHORA BASSA,outflow_m3s,3549.04,prose,BH051_10.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-10,CAHORA BASSA,storage_pct,90.51,prose,BH051_10.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-10,MUDA,outflow_m3s,1.5,prose,BH051_10.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-10,MUDA,storage_pct,71.09,prose,BH051_10.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-11,CAHORA BASSA,outflow_m3s,3567.27,prose,BH052_11.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-11,MUDA,outflow_m3s,1.5,prose,BH052_11.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-13,CAHORA BASSA,outflow_m3s,3550.12,prose,BH053_13.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-13,CAHORA BASSA,storage_pct,90.91,prose,BH053_13.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-13,CHICAMBA,outflow_m3s,29.1,prose,BH053_13.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-13,CHICAMBA,storage_pct,56.29,prose,BH053_13.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-13,MUDA,outflow_m3s,1.5,prose,BH053_13.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-13,MUDA,storage_pct,69.02,prose,BH053_13.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-14,CAHORA BASSA,outflow_m3s,3570.96,prose,BH054_14.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-14,CAHORA BASSA,storage_pct,90.15,prose,BH054_14.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-14,CHICAMBA,outflow_m3s,30.77,prose,BH054_14.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-14,CHICAMBA,storage_pct,56.57,prose,BH054_14.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-14,MUDA,outflow_m3s,1.5,prose,BH054_14.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-14,MUDA,storage_pct,69.02,prose,BH054_14.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-15,CAHORA BASSA,outflow_m3s,3559.27,prose,BH055_15.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-15,CAHORA BASSA,storage_pct,91.3,prose,BH055_15.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-15,CHICAMBA,outflow_m3s,31.43,prose,BH055_15.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-15,CHICAMBA,storage_pct,57.4,prose,BH055_15.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-15,MUDA,outflow_m3s,1.5,prose,BH055_15.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-15,MUDA,storage_pct,69.02,prose,BH055_15.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-17,CAHORA BASSA,outflow_m3s,3580.81,prose,BH057_17.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-17,CAHORA BASSA,storage_pct,91.54,prose,BH057_17.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-17,CHICAMBA,outflow_m3s,31.6,prose,BH057_17.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-17,CHICAMBA,storage_pct,59.4,prose,BH057_17.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-17,MUDA,outflow_m3s,1.5,prose,BH057_17.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-17,MUDA,storage_pct,69.02,prose,BH057_17.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-18,CAHORA BASSA,outflow_m3s,3581.28,prose,BH058_18.02.2023.pdf,2026-09-01 09:37:44Z
