流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),row_order_in_screen,report_date,crawl_time_local,screen_index
长江,湖北,浠水,白莲河,04-04 08:00,99.48,-0.04,11,2026-04-04,2026-04-03 20:57:32,5
长江,湖北,陆水,陆水水库,04-04 08:00,49.62,0.15,12,2026-04-04,2026-04-03 20:57:32,5
长江,陕西,汉江,石泉,04-04 08:00,405.91,0.11,13,2026-04-04,2026-04-03 20:57:32,5
长江,陕西,汉江,安康库,04-04 08:00,315.98,-0.42,14,2026-04-04,2026-04-03 20:57:32,5
长江,湖北,汉江,丹江口水库,04-04 08:00,162.41,-0.04,15,2026-04-04,2026-04-03 20:57:32,5
长江流域,江西,赣江,万安水库,04-04 08:00,87.25,-0.62,16,2026-04-04,2026-04-03 20:57:32,5
长江流域,江西,抚河,廖坊,04-04 08:00,60.77,1.21,17,2026-04-04,2026-04-03 20:57:32,5
长江,江西,修河,柘林,04-04 08:00,60.25,0.13,18,2026-04-04,2026-04-03 20:57:32,5
内陆,青海,巴音河,黑石山,04-01 08:00,3019.37,,19,2026-04-04,2026-04-03 20:57:32,5
内陆河,青海,雪水河,温泉,04-04 08:00,3953.45,,20,2026-04-04,2026-04-03 20:57:32,5
甘肃,疏勒河,双塔堡水库,(坝上),04-04 08:00,1330.11,-0.05,21,2026-04-04,2026-04-03 20:57:32,5
内陆河,甘肃,党河,党河水库 （坝上）,04-04 08:00,1425.32,,22,2026-04-04,2026-04-03 20:57:32,5
内陆河,甘肃,马营河,李桥水库 (坝上),04-04 08:00,2176.97,0.92,23,2026-04-04,2026-04-03 20:57:32,5
内陆河,甘肃,洪水河,双树寺水库,04-01 08:00,2476.44,,24,2026-04-04,2026-04-03 20:57:32,5
甘萧,讨赖河,鸳鸯池水库,（坝上）,04-04 08:00,1320.67,-0.01,0,2026-04-04,2026-04-03 20:57:32,6
内陆河,甘肃,石羊河,红崖山水库（坝上）,04-01 08:00,1482.75,,1,2026-04-04,2026-04-03 20:57:32,6
闽江,福建,闽江,水口水库,04-04 08:00,57.18,-0.55,2,2026-04-04,2026-04-03 20:57:32,6
海河,河北,伊逊河,庙宫水库,04-01 08:00,760.66,,3,2026-04-04,2026-04-03 20:57:32,6
海河,河北,洋河,洋河水库,04-04 08:00,55.16,0.01,4,2026-04-04,2026-04-03 20:57:32,6
海河,河北,陡河,陡河水库（坝上）,04-04 08:00,30.94,-0.04,5,2026-04-04,2026-04-03 20:57:32,6
海河,天津,潮白新河,黄白桥上,04-04 08:00,5.16,-0.04,6,2026-04-04,2026-04-03 20:57:32,6
海河,天津,潮白新河,宁车沽上,04-04 08:00,2.15,-0.11,7,2026-04-04,2026-04-03 20:57:32,6
海河,河北,白河,云州水库 (坝上),04-04 08:00,1027.1,-0.06,8,2026-04-04,2026-04-03 20:57:32,6
海河,北京,白河,白河堡,04-04 08:00,593.79,0.02,9,2026-04-04,2026-04-03 20:57:32,6
海河,北京,忙牛河,半城子水库,04-04 08:00,252.35,0.01,10,2026-04-04,2026-04-03 20:57:32,6
海河,北京,安达木河,遥桥峪水库,04-04 08:00,459.2,-0.13,11,2026-04-04,2026-04-03 20:57:32,6
海河,北京,红门川,沙厂水库,04-04 08:00,162.77,-0.18,12,2026-04-04,2026-04-03 20:57:32,6
海河,北京,怀河,怀柔水库,04-04 08:00,57.97,0.06,13,2026-04-04,2026-04-03 20:57:32,6
海河,北京,雁栖河,北台上水库,04-04 08:00,85.11,,14,2026-04-04,2026-04-03 20:57:32,6
海河,北京,沙河,大水峪水库,04-04 08:00,170.55,0.01,15,2026-04-04,2026-04-03 20:57:32,6
海河,北京,泃河,海子水库,04-04 08:00,108.65,,16,2026-04-04,2026-04-03 20:57:32,6
海河,北京,泃河,黄松峪水库,04-04 08:00,199.2,,17,2026-04-04,2026-04-03 20:57:32,6
海河,北京,泃河,西峪水库,04-04 08:00,213.14,,18,2026-04-04,2026-04-03 20:57:32,6
海河,天津,州河,于桥坝上,04-04 08:00,19.35,0.1,19,2026-04-04,2026-04-03 20:57:32,6
海河,河北,还乡河,邱庄水库（坝上）,04-04 08:00,64.99,,20,2026-04-04,2026-04-03 20:57:32,6
海河,北京,温榆河,十三陵水库,04-04 08:00,90.7,1.25,21,2026-04-04,2026-04-03 20:57:32,6
海河,北京,东沙河,十三陵水库上池,04-04 08:00,537.26,-26.71,22,2026-04-04,2026-04-03 20:57:32,6
海河,北京,温榆河,桃峪口水库,04-04 08:00,65.63,-0.03,23,2026-04-04,2026-04-03 20:57:32,6
海河,北京,小清河,大宁水库,04-04 08:00,51.69,-0.08,24,2026-04-04,2026-04-03 20:57:32,6
海河,山西,桑干河,册由,04-04 08:00,952.77,,0,2026-04-04,2026-04-03 20:57:32,7
海河,北京,清水河,斋堂水库,04-04 08:00,452.78,-0.01,1,2026-04-04,2026-04-03 20:57:32,7
海河,河北,中易水,安格庄水库,04-04 08:00,153.1,0.06,2,2026-04-04,2026-04-03 20:57:32,7
海河,河北,北易水,旺隆,04-04 08:00,129.91,-0.01,3,2026-04-04,2026-04-03 20:57:32,7
海河,河北,马头沟,马头,04-04 08:00,138.45,,4,2026-04-04,2026-04-03 20:57:32,7
海河,河北,垒子河,西累子,04-04 08:00,62.37,,5,2026-04-04,2026-04-03 20:57:32,7
海河,北京,刺猬河,崇青水库,04-04 08:00,67.76,0.01,6,2026-04-04,2026-04-03 20:57:32,7
海河,河北,磁河,横山岭水库 (坝上),04-04 08:00,233.34,-0.08,7,2026-04-04,2026-04-03 20:57:32,7
海河,河北,沙河,王快水库,04-04 08:00,192.93,-0.03,8,2026-04-04,2026-04-03 20:57:32,7
海河,河北,郜河,口头水库,04-04 08:00,199.89,-0.02,9,2026-04-04,2026-04-03 20:57:32,7
海河,河北,唐河,西大洋水库,04-04 08:00,133.59,,10,2026-04-04,2026-04-03 20:57:32,7
海河,河北,界河,龙潭,04-04 08:00,438.49,-0.02,11,2026-04-04,2026-04-03 20:57:32,7
海河,河北,漕河,龙门水库,04-04 08:00,122.17,-0.07,12,2026-04-04,2026-04-03 20:57:32,7
海河,河北,沙河,野沟门水库,01-01 08:00,374.16,,13,2026-04-04,2026-04-03 20:57:32,7
海河,河北,沙河,朱庄水库,04-04 08:00,241.24,-0.07,14,2026-04-04,2026-04-03 20:57:32,7
海河,河北,泜河,临城水库,04-04 08:00,119.99,-0.05,15,2026-04-04,2026-04-03 20:57:32,7
海河,山,松溪河,郭庄,04-01 08:00,929.29,,16,2026-04-04,2026-04-03 20:57:32,7
海河,天津,团泊洼,团泊洼水库,04-01 08:00,1.87,,17,2026-04-04,2026-04-03 20:57:32,7
海河,河南,卫河,宝泉,04-01 08:00,256.44,_-,18,2026-04-04,2026-04-03 20:57:32,7
海河,河南,沧河,狮豹头,04-01 08:00,300.98,,19,2026-04-04,2026-04-03 20:57:32,7
海河,河南,浙河,弓上,06-10 08:00,482.12,-0.73,20,2026-04-04,2026-04-03 20:57:32,7
海河,河南,汤河,汤河,04-01 08:00,112.41,,21,2026-04-04,2026-04-03 20:57:32,7
海河,河南,通河,琵琶寺,04-01 08:00,115.11,,22,2026-04-04,2026-04-03 20:57:32,7
海河,河南,安阳河,小南海,04-04 08:00,163.87,-0.02,23,2026-04-04,2026-04-03 20:57:32,7
海河,河南,粉红江,双泉,04-01 08:00,140.91,,24,2026-04-04,2026-04-03 20:57:32,7
海河,河南,露水河,南谷洞,04-01 08:00,529.05,,0,2026-04-04,2026-04-03 20:57:32,8
海河,山西,浊漳河南源,漳泽水库,04-01 08:00,901.63,,1,2026-04-04,2026-04-03 20:57:32,8
海河,山西,浊漳河北源,关河水库,04-01 08:00,991.99,,2,2026-04-04,2026-04-03 20:57:32,8
海河,山西,清漳西源,石匣,04-01 08:00,1141.9,,3,2026-04-04,2026-04-03 20:57:32,8
黄河,青海,黄河,龙羊峡,04-04 08:00,2583.91,-0.08,4,2026-04-04,2026-04-03 20:57:32,8
黄河,甘肃,黄河,刘家峡水库,04-04 08:00,1734.27,-0.04,5,2026-04-04,2026-04-03 20:57:32,8
黄河,宁夏,黄河,青铜峡水库,04-04 08:00,1156,,6,2026-04-04,2026-04-03 20:57:32,8
黄河,山西,黄河,万家寨上,04-04 08:00,975.5,0.2,7,2026-04-04,2026-04-03 20:57:32,8
黄河,山西,黄河,天桥上,04-01 08:00,833,,8,2026-04-04,2026-04-03 20:57:32,8
黄河,河南,黄河,史家滩,04-04 08:00,317.09,-0.27,9,2026-04-04,2026-04-03 20:57:32,8
黄河,青海,巴燕河,东大滩,04-04 08:00,2983,-0.02,10,2026-04-04,2026-04-03 20:57:32,8
黄河,陕西,杏子河,王瑶,04-01 08:00,1179.56,,11,2026-04-04,2026-04-03 20:57:32,8
黄河,陕西,芦河,河口庙,04-01 08:00,1147,,12,2026-04-04,2026-04-03 20:57:32,8
黄河,陕西,榆溪河,尤家,04-03 08:00,1093.27,0.03,13,2026-04-04,2026-04-03 20:57:32,8
黄河,陕西,居水,薛峰,04-01 08:00,605.53,,14,2026-04-04,2026-04-03 20:57:32,8
黄河,河南,宏农涧河,窄口,04-04 08:00,638.53,-0.07,15,2026-04-04,2026-04-03 20:57:32,8
