reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,capacity_total (TMC),dead_storage (TMC),frl (m),dam_height (m),year_built,main_use,data_type,source_agency,source_url,last_updated,detail_slug,location,data_period_start,data_period_end
IN_APWRIMS_raiwada_reservoir_53a12642,RAIWADA RESERVOIR,RAIWADA RESERVOIR,India,Andhra Pradesh / Telangana,Sarada,other,18.006501,82.965743,3.6,0.33,113.925,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:49,53a12642-b27f-4a34-9ac0-19bab3af825f,Visakhapatnam,2026-05-07,2026-06-28
IN_APWRIMS_mehadrigadd_reservoir_e964c4dd,MEHADRIGADD RESERVOIR,MEHADRIGADD RESERVOIR,India,Andhra Pradesh / Telangana,Naravagedda,other,17.759283,83.194833,1.169,0.13,18.593,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:50,e964c4dd-6a15-4147-9104-0a9626d1ac80,visakhapatnam,2026-05-07,2026-06-28
IN_APWRIMS_swarnamukhi_barrage_cum_bridge_1765fa8a,SWARNAMUKHI BARRAGE CUM BRIDGE,SWARNAMUKHI BARRAGE CUM BRIDGE,India,Andhra Pradesh / Telangana,Swarnamukhi,other,14.006975,80.067972,0.035,0,57.97,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:51,1765fa8a-3f21-441c-9bd5-526b37ba9aec,Nellore,2026-05-07,2026-06-28
IN_APWRIMS_sarvepalli_reservoir_5bba311b,SARVEPALLI RESERVOIR,SARVEPALLI RESERVOIR,India,Andhra Pradesh / Telangana,sarvepalli,other,14.326686,80.012381,1.74,0,8.449,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:52,5bba311b-8651-4dbb-859b-98e1e176d940,Nellore,2026-05-07,2026-06-28
IN_APWRIMS_narayanapuram_anicut_3f7ccade,NARAYANAPURAM ANICUT,NARAYANAPURAM ANICUT,India,Andhra Pradesh / Telangana,nagavali,other,18.485963,83.808668,0,0,32.769,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:53,3f7ccade-c202-4169-ae1f-e617dd29a3a1,Srikakulam,2026-05-07,2026-06-28
IN_APWRIMS_madduvalasa_project_20f6ac7e,MADDUVALASA PROJECT,MADDUVALASA PROJECT,India,Andhra Pradesh / Telangana,maddigedda,other,18.587528,83.619456,3.373,0.07,64.999,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:54,20f6ac7e-e464-4bc8-95e6-94c659ebb112,Vizianagaram,2026-05-07,2026-06-28
IN_APWRIMS_pampa_reservoir_3c11003b,PAMPA RESERVOIR,PAMPA RESERVOIR,India,Andhra Pradesh / Telangana,Pampa,other,17.287272,82.407053,0.423,0,32.001,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:55,3c11003b-d0b7-4565-a318-b75bc3277a86,East Godavari,2026-05-12,2026-06-25
IN_APWRIMS_sunkesula_barrage_2c01a0fd,SUNKESULA BARRAGE,SUNKESULA BARRAGE,India,Andhra Pradesh / Telangana,Tungabhadra,Krishna,15.880025,77.830697,1.235,0.3,291.998,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:56,2c01a0fd-388d-4d3c-b790-726f8ca0d690,kurnool,2026-05-07,2026-06-28
IN_APWRIMS_alaganuru_balancing_reservoir_0e6be4a2,ALAGANURU BALANCING RESERVOIR,ALAGANURU BALANCING RESERVOIR,India,Andhra Pradesh / Telangana,munimadugula vagu,Pennar,15.713217,78.413425,2.97,0,264.999,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:57,0e6be4a2-db2a-42c0-a01d-9de81d835a5e,kurnool,2026-05-07,2026-06-28
IN_APWRIMS_velogodu_balancing_reservoir_9e2cb9f8,VELOGODU BALANCING RESERVOIR,VELOGODU BALANCING RESERVOIR,India,Andhra Pradesh / Telangana,Galeru,pennar,15.7249,78.591114,16.95,0.63,264.719,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:58,9e2cb9f8-743b-473a-b966-7d11cb000a79,kurnool,2026-05-11,2026-06-26
IN_APWRIMS_varadarajaswamy_gudi_project_89fabc06,VARADARAJASWAMY GUDI PROJECT,VARADARAJASWAMY GUDI PROJECT,India,Andhra Pradesh / Telangana,munimadugula vagu,Krishna,15.966936,78.646356,0.389,0,370,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:59,89fabc06-f306-4919-b057-6a749e68a277,Kurnool,2026-05-07,2026-06-28
IN_APWRIMS_zurreru_reservoir_901e15e0,ZURRERU RESERVOIR,ZURRERU RESERVOIR,India,Andhra Pradesh / Telangana,Zurreru,Krishna,15.309296,78.138037,0.266,0.02,263.652,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:13:00,901e15e0-2d83-4546-bb15-5a60dafcf358,Kurnool,2026-05-07,2026-06-28
IN_APWRIMS_owk_reservoir_c116d365,OWK RESERVOIR,OWK RESERVOIR,India,Andhra Pradesh / Telangana,SRBC,other,15.196839,78.089336,3,1.68,227,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:13:01,c116d365-f5f4-4828-946b-59cc9df53284,kurnool,2026-05-08,2026-06-28
IN_APWRIMS_chagallu_balancing_reservoir_0baf751c,CHAGALLU BALANCING RESERVOIR,CHAGALLU BALANCING RESERVOIR,India,Andhra Pradesh / Telangana,pennar,pennar,14.918283,77.828231,0.95,0.05,265.929,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:13:02,0baf751c-7060-4d25-aea1-62524b8d1f53,Ananthapur,2026-05-07,2026-06-28
IN_APWRIMS_mid_pennar_reservoir_f29b32d3,MID PENNAR RESERVOIR,MID PENNAR RESERVOIR,India,Andhra Pradesh / Telangana,pennar,Pennar,14.870856,77.409369,5.17,0.21,365.739,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:13:03,f29b32d3-cf35-4a18-a85d-79848a8b5f3c,"Anantpur, Cuddapah",2026-05-07,2026-06-28
