obs_date,dam,variable,value
2026-07-27,KUDZWE,storage_mcm,2.077
2026-07-27,KUDZWE,storage_pct,100
2026-07-27,KUDZWE,storage_pct_change_month,0
2026-07-27,KUDZWE,storage_pct_change_week,0
2026-07-27,KUSHINGA PHIKELELA,full_supply_capacity_mcm,7.721
2026-07-27,KUSHINGA PHIKELELA,storage_mcm,5.428
2026-07-27,KUSHINGA PHIKELELA,storage_pct,70.3
2026-07-27,KUSHINGA PHIKELELA,storage_pct_change_month,-7.3
2026-07-27,KUSHINGA PHIKELELA,storage_pct_change_week,-1.1
2026-07-27,LOWER MGUSA,full_supply_capacity_mcm,1.517
2026-07-27,LOWER MGUSA,storage_mcm,1.517
2026-07-27,LOWER MGUSA,storage_pct,100
2026-07-27,LOWER MGUSA,storage_pct_change_month,0
2026-07-27,LOWER MGUSA,storage_pct_change_week,-0.2
2026-07-27,LOWER MUJENI,full_supply_capacity_mcm,10.126
2026-07-27,LOWER MUJENI,storage_mcm,5.815
2026-07-27,LOWER MUJENI,storage_pct,57.4
2026-07-27,LOWER MUJENI,storage_pct_change_month,-42.6
2026-07-27,LOWER MUJENI,storage_pct_change_week,0
2026-07-27,LOWER NCEMA,full_supply_capacity_mcm,14.876
2026-07-27,LOWER NCEMA,storage_mcm,2.2
2026-07-27,LOWER NCEMA,storage_pct,14.8
2026-07-27,LOWER NCEMA,storage_pct_change_month,-17.9
2026-07-27,LOWER NCEMA,storage_pct_change_week,-1.1
2026-07-27,LOWER ZIVAGWE,full_supply_capacity_mcm,6.993
2026-07-27,LOWER ZIVAGWE,storage_mcm,5.069
2026-07-27,LOWER ZIVAGWE,storage_pct,72.5
2026-07-27,LOWER ZIVAGWE,storage_pct_change_month,-27.5
2026-07-27,LOWER ZIVAGWE,storage_pct_change_week,2.6
2026-07-27,LUNGWALA,full_supply_capacity_mcm,9.647
2026-07-27,LUNGWALA,storage_mcm,8.373
2026-07-27,LUNGWALA,storage_pct,86.8
2026-07-27,LUNGWALA,storage_pct_change_month,-6.4
2026-07-27,LUNGWALA,storage_pct_change_week,-1
2026-07-27,MABVUTE,full_supply_capacity_mcm,3.219
2026-07-27,MABVUTE,storage_mcm,3.113
2026-07-27,MABVUTE,storage_pct,96.7
2026-07-27,MABVUTE,storage_pct_change_month,-3.3
2026-07-27,MABVUTE,storage_pct_change_week,-0.4
2026-07-27,MABWEMATEMA,full_supply_capacity_mcm,2.798
2026-07-27,MABWEMATEMA,storage_mcm,2.798
2026-07-27,MABWEMATEMA,storage_pct,100
2026-07-27,MABWEMATEMA,storage_pct_change_month,0
2026-07-27,MABWEMATEMA,storage_pct_change_week,0
2026-07-27,MAGUDU,full_supply_capacity_mcm,5.845
2026-07-27,MAGUDU,storage_mcm,5.128
2026-07-27,MAGUDU,storage_pct,87.7
2026-07-27,MAGUDU,storage_pct_change_month,-11.2
2026-07-27,MAGUDU,storage_pct_change_week,0
2026-07-27,MAHUSEKWA,full_supply_capacity_mcm,2.992
2026-07-27,MAHUSEKWA,storage_mcm,2.119
2026-07-27,MAHUSEKWA,storage_pct,70.8
2026-07-27,MAHUSEKWA,storage_pct_change_month,-29.2
2026-07-27,MAHUSEKWA,storage_pct_change_week,-0.3
2026-07-27,MAKONESE,full_supply_capacity_mcm,2
2026-07-27,MAKONESE,storage_mcm,2
2026-07-27,MAKONESE,storage_pct,100
2026-07-27,MAKONESE,storage_pct_change_month,0
2026-07-27,MAKONESE,storage_pct_change_week,0
2026-07-27,MAMINA,full_supply_capacity_mcm,11.361
2026-07-27,MAMINA,storage_mcm,9.383
2026-07-27,MAMINA,storage_pct,82.6
2026-07-27,MAMINA,storage_pct_change_month,-12.8
2026-07-27,MAMINA,storage_pct_change_week,-0.8
2026-07-27,MANANDA,full_supply_capacity_mcm,11.736
2026-07-27,MANANDA,storage_mcm,10.114
2026-07-27,MANANDA,storage_pct,86.2
2026-07-27,MANANDA,storage_pct_change_month,-10.9
2026-07-27,MANANDA,storage_pct_change_week,-1.2
2026-07-27,MANGWE,full_supply_capacity_mcm,8.713
2026-07-27,MANGWE,storage_mcm,8.388
2026-07-27,MANGWE,storage_pct,96.3
2026-07-27,MANGWE,storage_pct_change_month,-3.4
2026-07-27,MANGWE,storage_pct_change_week,-1.1
2026-07-27,MANJIRENJI,full_supply_capacity_mcm,274.179
2026-07-27,MANJIRENJI,storage_mcm,248.209
2026-07-27,MANJIRENJI,storage_pct,90.5
2026-07-27,MANJIRENJI,storage_pct_change_month,-7.1
2026-07-27,MANJIRENJI,storage_pct_change_week,-0.3
2026-07-27,MANYAME,full_supply_capacity_mcm,480.236
2026-07-27,MANYAME,storage_mcm,363.317
2026-07-27,MANYAME,storage_pct,75.7
2026-07-27,MANYAME,storage_pct_change_month,-4.8
2026-07-27,MANYAME,storage_pct_change_week,-0.4
2026-07-27,MANYUCHI,full_supply_capacity_mcm,309.066
2026-07-27,MANYUCHI,storage_mcm,303.388
2026-07-27,MANYUCHI,storage_pct,98.2
2026-07-27,MANYUCHI,storage_pct_change_month,-1.3
2026-07-27,MANYUCHI,storage_pct_change_week,-0.1
2026-07-27,MAROVANYATI,full_supply_capacity_mcm,47.439
2026-07-27,MAROVANYATI,storage_mcm,38.2
2026-07-27,MAROVANYATI,storage_pct,80.5
2026-07-27,MAROVANYATI,storage_pct_change_month,-3
2026-07-27,MAROVANYATI,storage_pct_change_week,-0.2
2026-07-27,MASEMBURA,full_supply_capacity_mcm,25.775
2026-07-27,MASEMBURA,storage_mcm,25.557
2026-07-27,MASEMBURA,storage_pct,99.2
2026-07-27,MASEMBURA,storage_pct_change_month,-0.8
2026-07-27,MASEMBURA,storage_pct_change_week,-0.1
2026-07-27,MASHOKO,full_supply_capacity_mcm,1.512
2026-07-27,MASHOKO,storage_mcm,1.361
2026-07-27,MASHOKO,storage_pct,90
2026-07-27,MASHOKO,storage_pct_change_month,-10
2026-07-27,MASHOKO,storage_pct_change_week,-1.1
2026-07-27,MASHOLOMOSHE,full_supply_capacity_mcm,1.068
2026-07-27,MASHOLOMOSHE,storage_mcm,1.068
2026-07-27,MASHOLOMOSHE,storage_pct,100
2026-07-27,MASHOLOMOSHE,storage_pct_change_month,0
2026-07-27,MASHOLOMOSHE,storage_pct_change_week,0
2026-07-27,MATEZVA,full_supply_capacity_mcm,12.057
2026-07-27,MATEZVA,storage_mcm,12.057
2026-07-27,MATEZVA,storage_pct,100
2026-07-27,MATEZVA,storage_pct_change_month,0
2026-07-27,MATEZVA,storage_pct_change_week,0
2026-07-27,MAZOWE,full_supply_capacity_mcm,39.357
2026-07-27,MAZOWE,storage_mcm,5.221
2026-07-27,MAZOWE,storage_pct,13.3
2026-07-27,MAZOWE,storage_pct_change_month,-1.5
2026-07-27,MAZOWE,storage_pct_change_week,-0.2
2026-07-27,MAZVIKADEI,full_supply_capacity_mcm,343.815
2026-07-27,MAZVIKADEI,storage_mcm,215.209
2026-07-27,MAZVIKADEI,storage_pct,62.6
2026-07-27,MAZVIKADEI,storage_pct_change_month,-7.3
2026-07-27,MAZVIKADEI,storage_pct_change_week,-1.9
2026-07-27,MBEMBESWANE,full_supply_capacity_mcm,1.6
2026-07-27,MBEMBESWANE,storage_mcm,1.495
2026-07-27,MBEMBESWANE,storage_pct,93.4
2026-07-27,MBEMBESWANE,storage_pct_change_month,-5.9
2026-07-27,MBEMBESWANE,storage_pct_change_week,0
2026-07-27,MBINDANGOMBE,full_supply_capacity_mcm,22.583
2026-07-27,MBINDANGOMBE,storage_mcm,22.583
2026-07-27,MBINDANGOMBE,storage_pct,100
2026-07-27,MBINDANGOMBE,storage_pct_change_month,0
2026-07-27,MBINDANGOMBE,storage_pct_change_week,0
2026-07-27,MGULULU,full_supply_capacity_mcm,1.966
2026-07-27,MGULULU,storage_mcm,1.719
2026-07-27,MGULULU,storage_pct,87.4
2026-07-27,MGULULU,storage_pct_change_month,-8.3
2026-07-27,MGULULU,storage_pct_change_week,-0.9
2026-07-27,MHAKWE,full_supply_capacity_mcm,0.524
2026-07-27,MHAKWE,storage_mcm,0.366
2026-07-27,MHAKWE,storage_pct,69.8
2026-07-27,MHAKWE,storage_pct_change_month,-21.9
2026-07-27,MHAKWE,storage_pct_change_week,-1.5
2026-07-27,MHENDE,full_supply_capacity_mcm,3.642
2026-07-27,MHENDE,storage_mcm,3.642
2026-07-27,MHENDE,storage_pct,100
2026-07-27,MHENDE,storage_pct_change_month,0
2026-07-27,MHENDE,storage_pct_change_week,0
2026-07-27,MHLANGWA,full_supply_capacity_mcm,4.239
2026-07-27,MHLANGWA,storage_mcm,3.746
2026-07-27,MHLANGWA,storage_pct,88.4
2026-07-27,MHLANGWA,storage_pct_change_month,-10.1
2026-07-27,MHLANGWA,storage_pct_change_week,-1.2
2026-07-27,MOZA,full_supply_capacity_mcm,3.213
2026-07-27,MOZA,storage_mcm,2.472
2026-07-27,MOZA,storage_pct,76.9
2026-07-27,MOZA,storage_pct_change_month,-18.1
2026-07-27,MOZA,storage_pct_change_week,-1.6
2026-07-27,MPOPOMA,full_supply_capacity_mcm,2.159
2026-07-27,MPOPOMA,storage_mcm,2.159
2026-07-27,MPOPOMA,storage_pct,100
2026-07-27,MPOPOMA,storage_pct_change_month,0
2026-07-27,MPOPOMA,storage_pct_change_week,0
2026-07-27,MTSHABEZI,full_supply_capacity_mcm,51.996
2026-07-27,MTSHABEZI,storage_mcm,51.92
2026-07-27,MTSHABEZI,storage_pct,99.9
2026-07-27,MTSHABEZI,storage_pct_change_month,-0.1
2026-07-27,MTSHABEZI,storage_pct_change_week,-0.1
2026-07-27,MUCHEKERANWA,full_supply_capacity_mcm,66.08
2026-07-27,MUCHEKERANWA,storage_mcm,60.92
2026-07-27,MUCHEKERANWA,storage_pct,92.2
2026-07-27,MUCHEKERANWA,storage_pct_change_month,-4.8
2026-07-27,MUCHEKERANWA,storage_pct_change_week,-0.7
2026-07-27,MUFURUDZI,full_supply_capacity_mcm,9.619
2026-07-27,MUFURUDZI,storage_mcm,8.193
2026-07-27,MUFURUDZI,storage_pct,85.2
2026-07-27,MUFURUDZI,storage_pct_change_month,-14.8
2026-07-27,MUFURUDZI,storage_pct_change_week,-1.2
2026-07-27,MUNDI MATAGA,full_supply_capacity_mcm,38.827
2026-07-27,MUNDI MATAGA,storage_mcm,38.485
2026-07-27,MUNDI MATAGA,storage_pct,99.1
2026-07-27,MUNDI MATAGA,storage_pct_change_month,-0.9
2026-07-27,MUNDI MATAGA,storage_pct_change_week,-0.1
2026-07-27,MUNJANGANJA,full_supply_capacity_mcm,1.969
2026-07-27,MUNJANGANJA,storage_mcm,1.931
2026-07-27,MUNJANGANJA,storage_pct,98.1
2026-07-27,MUNJANGANJA,storage_pct_change_month,-1.9
2026-07-27,MUNJANGANJA,storage_pct_change_week,-1.6
2026-07-27,MUPFURE WEIRS,full_supply_capacity_mcm,3.835
2026-07-27,MUPFURE WEIRS,storage_mcm,3.835
2026-07-27,MUPFURE WEIRS,storage_pct,100
2026-07-27,MUPFURE WEIRS,storage_pct_change_month,0
2026-07-27,MUPFURE WEIRS,storage_pct_change_week,0
2026-07-27,MUSAWEREMA,full_supply_capacity_mcm,7.316
2026-07-27,MUSAWEREMA,storage_mcm,5.606
2026-07-27,MUSAWEREMA,storage_pct,76.6
2026-07-27,MUSAWEREMA,storage_pct_change_month,-21
2026-07-27,MUSAWEREMA,storage_pct_change_week,-2.4
2026-07-27,MUSHANDIKE,full_supply_capacity_mcm,37.252
2026-07-27,MUSHANDIKE,storage_mcm,32.301
2026-07-27,MUSHANDIKE,storage_pct,86.7
2026-07-27,MUSHANDIKE,storage_pct_change_month,-13.3
2026-07-27,MUSHANDIKE,storage_pct_change_week,-1.9
2026-07-27,MUTERI,full_supply_capacity_mcm,74.214
2026-07-27,MUTERI,storage_mcm,74.214
2026-07-27,MUTERI,storage_pct,100
2026-07-27,MUTERI,storage_pct_change_month,0
2026-07-27,MUTERI,storage_pct_change_week,0
2026-07-27,MUTIRIKWI,full_supply_capacity_mcm,1378.08
2026-07-27,MUTIRIKWI,storage_mcm,1315.65
2026-07-27,MUTIRIKWI,storage_pct,95.5
2026-07-27,MUTIRIKWI,storage_pct_change_month,-5.8
2026-07-27,MUTIRIKWI,storage_pct_change_week,-0.5
2026-07-27,MUZHWI,full_supply_capacity_mcm,106.961
2026-07-27,MUZHWI,storage_mcm,106.961
2026-07-27,MUZHWI,storage_pct,100
2026-07-27,MUZHWI,storage_pct_change_month,0
2026-07-27,MUZHWI,storage_pct_change_week,0
2026-07-27,MWARAZI,full_supply_capacity_mcm,5.893
2026-07-27,MWARAZI,storage_mcm,5.893
2026-07-27,MWARAZI,storage_pct,100
2026-07-27,MWARAZI,storage_pct_change_month,0
2026-07-27,MWARAZI,storage_pct_change_week,0
2026-07-27,MWENJE NOAKES-STAGE II,full_supply_capacity_mcm,36.117
2026-07-27,MWENJE NOAKES-STAGE II,storage_mcm,23.377
2026-07-27,MWENJE NOAKES-STAGE II,storage_pct,64.7
2026-07-27,MWENJE NOAKES-STAGE II,storage_pct_change_month,-19
2026-07-27,MWENJE NOAKES-STAGE II,storage_pct_change_week,-2.6
2026-07-27,MZINGWANE,full_supply_capacity_mcm,42.179
2026-07-27,MZINGWANE,storage_mcm,17.422
2026-07-27,MZINGWANE,storage_pct,41.3
2026-07-27,MZINGWANE,storage_pct_change_month,-8
2026-07-27,MZINGWANE,storage_pct_change_week,-0.7
2026-07-27,NEGOMO,full_supply_capacity_mcm,4.968
2026-07-27,NEGOMO,storage_mcm,4.929
2026-07-27,NEGOMO,storage_pct,99.2
2026-07-27,NEGOMO,storage_pct_change_month,-0.8
2026-07-27,NEGOMO,storage_pct_change_week,0
2026-07-27,NERUTANGA,full_supply_capacity_mcm,1.775
2026-07-27,NERUTANGA,storage_mcm,1.775
2026-07-27,NERUTANGA,storage_pct,100
2026-07-27,NERUTANGA,storage_pct_change_month,0
2026-07-27,NERUTANGA,storage_pct_change_week,0
2026-07-27,NGESI,full_supply_capacity_mcm,22.686
2026-07-27,NGESI,storage_mcm,18.364
2026-07-27,NGESI,storage_pct,80.9
2026-07-27,NGESI,storage_pct_change_month,-18.1
2026-07-27,NGESI,storage_pct_change_week,-1.3
2026-07-27,NGEZI,full_supply_capacity_mcm,72.32
2026-07-27,NGEZI,storage_mcm,72.097
2026-07-27,NGEZI,storage_pct,99.7
2026-07-27,NGEZI,storage_pct_change_month,-0.3
2026-07-27,NGEZI,storage_pct_change_week,-0.2
2026-07-27,NGONDOMA,full_supply_capacity_mcm,7.487
2026-07-27,NGONDOMA,storage_mcm,5.73
2026-07-27,NGONDOMA,storage_pct,76.5
2026-07-27,NGONDOMA,storage_pct_change_month,-19.3
2026-07-27,NGONDOMA,storage_pct_change_week,-16.9
2026-07-27,NGWANE,full_supply_capacity_mcm,1.1
2026-07-27,NGWANE,storage_mcm,0.998
2026-07-27,NGWANE,storage_pct,90.7
